feature,importance
formation_energy_per_atom,0.6577969209020922
total_electrons,0.24752095231760016
avg_atomic_number,0.2100349647570554
energy_above_hull,0.19539697940618644
density,0.11526826417718321
std_electroneg,0.11321482000308344
avg_electroneg,0.11151657292407773
nsites,0.07204563589543612
spacegroup_num,0.05081480358219855
range_electroneg,0.03388778179317142
n_elements,0.005695570762166013
crystal_system_Orthorhombic,0.0021279556813329934
crystal_system_Trigonal,0.0007548531059625163
crystal_system_Tetragonal,0.00040584552683917694
crystal_system_Monoclinic,0.0002603921485693217
crystal_system_Triclinic,6.81972813951659e-05
crystal_system_Hexagonal,0.0
crystal_system_Cubic,0.0
